prev_open,prev_high,prev_low,prev_close,prev_volume,close_lag_2,close_lag_3,close_lag_5,close_lag_10,volume_lag_2,volume_lag_3,volume_lag_5,volume_lag_10,return_1d_lag,sma_5,sma_10,sma_20,volume_sma_5,volume_sma_10,volume_sma_20,volatility_5d,volatility_20d,d,close
58746.57,59800.0,56769.0,58740.55,60975.54,58746.57,57635.47,55817.14,54083.25,55122.44,67857.94,50105.48,62581.63,-0.00010247406784769097,57343.471999999994,55376.452000000005,56684.693499999994,54622.35800000001,63023.456000000006,65134.01599999999,1482.171068979081,2421.205672552759,2021-04-01 02:00:00,58720.44
58739.46,59490.0,57935.45,58720.44,47415.62,58740.55,58746.57,55777.63,54340.89,60975.54,55122.44,39050.39,59789.37,-0.00034235294017503914,57924.132,55840.170999999995,56759.629499999995,54084.386,61506.855,63834.5265,1291.1085964854133,2461.5576961269176,2021-04-02 02:00:00,58950.01
58720.45,60200.0,58428.57,58950.01,47382.42,58720.44,58740.55,57635.47,52303.65,47415.62,60975.54,67857.94,83537.47,0.0039095415497567565,58558.60800000001,56301.083000000006,56647.7105,55750.791999999994,60266.16000000001,62041.393,524.4047801254922,2294.8384813369366,2021-04-03 02:00:00,57051.94
58950.01,59791.72,56880.0,57051.94,47409.85,58950.01,58720.44,58746.57,51293.78,47382.42,47415.62,55122.44,87400.53,-0.03219795891468047,58441.902,56775.912,56551.89200000001,51661.174,56653.398,61781.833000000006,782.5862151664045,2231.9920911420973,2021-04-04 02:00:00,58202.01
57051.95,58492.85,56388.0,58202.01,41314.08,57051.94,58950.01,58740.55,55025.59,47409.85,47382.42,60975.54,63813.77,0.020158297859809826,58332.990000000005,57466.735,56681.732500000006,48899.50199999999,52044.753000000004,58708.96549999999,767.329981069742,2249.4850611423744,2021-04-05 02:00:00,59129.99
58202.01,59272.0,56777.77,59129.99,54258.02,58202.01,57051.94,58720.44,55817.14,41314.08,47409.85,47415.62,50105.48,0.015944122891975665,58410.878000000004,57877.175,56793.194500000005,47555.998,51089.178,57522.53199999999,835.755996549519,2315.178728327146,2021-04-06 02:00:00,57991.15
59129.99,59495.24,57413.02,57991.15,54201.0,59129.99,58202.01,58950.01,55777.63,54258.02,41314.08,47382.42,39050.39,-0.019259938992041037,58265.020000000004,58094.576,56747.103500000005,48913.074,51498.729999999996,56711.501000000004,831.8537317933343,2279.6601771435785,2021-04-07 02:00:00,55953.45
57990.03,58655.0,55473.0,55953.45,71228.41,57991.15,59129.99,57051.94,57635.47,54201.0,54258.02,47409.85,67857.94,-0.03513812021317053,57665.708000000006,58112.157999999996,56662.367999999995,53682.272,54716.53199999999,56943.901,1208.9450693139725,2275.8982137134403,2021-04-08 02:00:00,58077.52
55953.44,58153.31,55700.0,58077.52,44283.15,55953.45,57991.15,58202.01,58746.57,71228.41,54201.0,41314.08,55122.44,0.03796137682305556,57870.824,58156.363,56664.7435,53056.93199999999,52359.053,56538.426,1164.9793797224672,2277.4251225478706,2021-04-09 02:00:00,58142.54
58077.52,58894.9,57654.0,58142.54,40831.88,58077.52,55953.45,59129.99,58740.55,44283.15,71228.41,54258.02,60975.54,0.0011195381620978662,57858.93000000001,58095.96,56666.756499999996,52960.492000000006,50929.996999999996,56356.17300000001,1161.0497300497277,2278.7800158329355,2021-04-10 02:00:00,59769.13
